system:index,LST_Day,LST_Night,especie,fecha,satelite,.geo
1_1_1_2020_01_01,33.94202753872637,11.38610327022378,pino,2020-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_09,29.756092943201413,6.8854216867470175,pino,2020-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_17,37.54691566265064,12.313882960413116,pino,2020-01-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_25,31.540726333907088,8.23709122203101,pino,2020-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_02_02,30.085814113597284,7.463590361445815,pino,2020-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_02_10,26.86355593803791,9.846013769363202,pino,2020-02-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_02_18,29.633345955249602,7.776912220309841,pino,2020-02-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_02_26,35.341318416523265,11.391569707401063,pino,2020-02-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_03_05,29.58356282271949,9.01687091222034,pino,2020-03-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_03_13,27.08585542168678,6.054757314974214,pino,2020-03-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_03_21,25.78071256454393,8.326337349397617,pino,2020-03-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_03_29,23.426502581755624,4.311197934595556,pino,2020-03-29,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_04_06,22.071617900172143,3.021043029259931,pino,2020-04-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_04_14,16.826222648752434,3.902908777969057,pino,2020-04-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_04_22,16.228292598967332,2.6613528399311805,pino,2020-04-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_04_30,15.305263339070605,1.7294561101549375,pino,2020-04-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_05_08,7.821605712295394,1.91344234079176,pino,2020-05-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
