system:index,LST_Day,LST_Night,especie,fecha,satelite,.geo
1_1_1_2020_01_01,33.79901036757778,13.653525641025672,pino,2020-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_02,34.93259552495701,12.848340791738414,pino,2020-01-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_03,33.78812048192775,13.17473666092946,pino,2020-01-03,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_04,33.78122891566269,11.430564543889876,pino,2020-01-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_05,,6.3662147505423246,pino,2020-01-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_06,26.350000000000023,,pino,2020-01-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_07,,8.007711015736794,pino,2020-01-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_08,,6.257661927330211,pino,2020-01-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_09,,,pino,2020-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_10,26.057462994836524,4.503643699565523,pino,2020-01-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_11,32.28067125645443,6.532588640275415,pino,2020-01-11,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_12,32.44867125645441,9.941847002067577,pino,2020-01-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_13,33.90712220309815,12.003474576271218,pino,2020-01-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_14,23.575182829888742,10.22416867469882,pino,2020-01-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_15,25.042093023255852,1.9104754716981514,pino,2020-01-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_16,32.270523235800376,3.3289810671256785,pino,2020-01-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_17,36.81373149741829,9.114461273666125,pino,2020-01-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_18,39.76706712564546,12.316664371772838,pino,2020-01-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_19,38.352774526678175,13.605862306368365,pino,2020-01-19,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_20,39.542833046471635,10.732444061962157,pino,2020-01-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_21,38.20280089988756,13.327239242685051,pino,2020-01-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_22,40.953049913941506,14.813710843373523,pino,2020-01-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_23,31.86467084639502,15.02202065404478,pino,2020-01-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_24,32.919526699029156,9.565972461273695,pino,2020-01-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_25,33.27499603489298,9.257923444976097,pino,2020-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_26,32.08339759036148,11.655322128851571,pino,2020-01-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_01_27,32.48621475054233,9.576746987951836,pino,2020-01-27,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
